Gate Voltage,0,Gate Voltage,5,Gate Voltage,10
0,0.05,0,0.05,0,0.05
0.2,0.05,0.1,0.25,0.1,0.2
0.6,0.05,0.25,0.5,0.25,0.5
1,0.05,0.4,0.75,0.35,0.8
1.35,0.05,0.55,1.05,0.5,1.15
1.75,0.05,0.65,1.35,0.65,1.4
2.1,0.1,0.85,1.6,0.8,1.7
2.45,0.05,1,1.9,0.9,2
2.85,0.05,1.15,2.2,1.1,2.3
3.2,0.05,1.3,2.45,1.2,2.6
3.6,0.05,1.5,2.8,1.35,2.9
3.9,0.05,1.65,3,1.45,3.15
4.3,0.05,1.8,3.3,1.65,3.5
4.65,0.05,1.9,3.55,1.75,3.75
5.05,0,2.1,3.8,1.9,4.05
5.4,0.05,2.3,4.05,2.05,4.35
5.8,0.05,2.45,4.3,2.2,4.6
6.2,0.05,2.65,4.5,2.35,4.95
6.55,0.05,2.9,4.7,2.5,5.25
6.95,0.05,3.2,4.9,2.65,5.5
7.25,0.05,3.4,5,2.8,5.8
7.7,0.1,3.8,5.05,2.95,6.05
8.05,0.05,4.1,5.1,3.05,6.35
8.4,0.05,4.4,5.05,3.25,6.65
8.8,0.05,4.85,5.1,3.35,6.85
9.2,0.05,5.15,5.1,3.55,7.15
9.55,0.05,5.55,5.1,3.7,7.5
9.85,0.05,5.9,5.1,3.85,7.75
10.25,0.05,6.3,5.1,4,8.05
10.65,0.05,6.7,5.1,4.15,8.3
11,0.1,7.05,5.1,4.3,8.6
11.4,0.05,7.45,5.1,4.45,8.85
11.8,0.05,7.75,5.1,4.6,9.15
12.15,0.05,8.15,5.1,4.75,9.35
12.55,0.05,8.55,5.15,4.95,9.65
12.95,0.05,8.9,5.15,5.1,9.95
13.25,0.05,9.25,5.15,5.25,10.2
13.65,0.05,9.65,5.1,5.4,10.45
14.05,0.05,10,5.15,5.6,10.75
14.4,0.05,10.35,5.15,5.8,11.05
14.8,0.05,10.75,5.1,5.9,11.3
15.15,0.05,11.15,5.1,6.1,11.55
15.5,0.05,11.5,5.15,6.25,11.75
15.8,0.05,11.85,5.15,6.4,12.05
16.2,0.05,12.2,5.15,6.55,12.3
16.6,0.05,12.6,5.15,6.75,12.55
17,0.05,12.95,5.15,6.9,12.85
17.35,0.05,13.35,5.15,7.1,13.05
17.75,0.1,13.75,5.1,7.3,13.3
18.15,0.05,14.15,5.15,7.45,13.6
18.5,0.05,14.45,5.15,7.65,13.8
18.85,0.05,14.85,5.15,7.8,14.05
19.25,0.05,15.2,5.15,8,14.3
19.6,0.05,15.55,5.15,8.2,14.55
19.95,0.1,15.95,5.2,8.35,14.75
20.35,0.05,16.35,5.2,8.55,15
20.7,0.05,16.7,5.15,8.75,15.25
21.05,0.05,17.1,5.15,8.9,15.5
21.45,0.05,17.45,5.2,9.1,15.75
21.85,0.05,17.8,5.15,9.3,16
22.25,0.1,18.2,5.2,9.5,16.2
22.55,0.05,18.6,5.2,9.7,16.45
22.95,0.05,18.95,5.15,9.9,16.65
23.35,0.05,19.3,5.15,10.05,16.9
23.7,0.05,19.7,5.2,10.25,17.1
24.05,0.1,20.05,5.2,10.45,17.3
24.45,0.05,20.45,5.2,10.6,17.55
24.85,0.05,20.8,5.2,10.85,17.75
25.2,0.05,21.15,5.2,11.05,18
25.55,0.05,21.55,5.2,11.25,18.2
25.95,0.05,21.9,5.2,11.45,18.4
26.3,0.1,22.25,5.2,11.65,18.6
26.7,0.05,22.65,5.2,11.85,18.85
27.05,0.05,23.05,5.2,12.05,19.05
27.45,0.05,23.4,5.2,12.25,19.25
27.8,0.05,23.75,5.2,12.45,19.45
28.15,0.05,24.1,5.15,12.7,19.65
28.55,0.05,24.5,5.2,12.9,19.9
28.9,0.05,24.85,5.2,13.1,20.05
29.3,0.05,25.25,5.2,13.35,20.25
29.65,0.05,25.6,5.2,13.6,20.5
30.1,0.05,26,5.2,13.8,20.65
30.45,0.05,26.35,5.15,14,20.9
30.8,0.1,26.75,5.2,14.2,21.05
31.2,0.1,27.15,5.2,14.4,21.3
