Gate Voltage,0,Gate Voltage,5,Gate Voltage,10
-0.02,0.02,0,0.04,0,0.04
0.24,0.04,0.22,0.02,0.24,0.04
0.6,0.04,0.6,0.02,0.6,0.04
0.96,0.04,0.96,0.04,0.96,0.04
1.32,0.02,1.34,0.04,1.34,0.02
1.7,0.04,1.7,0.04,1.72,0.04
2.08,0.04,2.1,0.04,2.08,0.04
2.46,0.04,2.46,0.04,2.46,0.02
2.84,0.04,2.84,0.04,2.84,0.04
3.2,0.04,3.2,0.04,3.22,0.02
3.58,0.04,3.58,0.04,3.58,0.02
3.94,0.04,3.92,0.04,3.92,0.04
4.32,0.04,4.3,0.04,4.3,0.02
4.68,0.04,4.7,0.02,4.68,0.04
5.04,0.04,5.08,0.04,5.06,0.04
5.44,0.02,5.44,0.04,5.44,0.04
5.8,0.04,5.82,0.04,5.8,0.04
6.18,0.02,6.18,0.02,6.2,0.04
6.56,0.04,6.56,0.02,6.56,0.04
6.94,0.04,6.96,0.02,6.94,0.04
7.3,0.02,7.32,0.04,7.3,0.04
7.68,0.02,7.7,0.04,7.68,0.04
8.04,0.02,8.04,0.02,8.02,0.02
8.4,0.04,8.42,0.04,8.42,0.04
8.78,0.02,8.78,0.04,8.78,0.04
9.16,0.04,9.16,0.02,9.16,0.04
9.54,0.06,9.54,0.02,9.54,0.04
9.9,0.04,9.92,0.04,9.92,0.04
10.3,0.02,10.28,0.04,10.28,0.02
10.68,0.02,10.66,0.04,10.66,0.02
11.06,0.04,11.04,0.04,11.04,0.06
11.42,0.04,11.42,0.04,11.42,0.04
11.76,0.02,11.74,0.02,11.76,0.04
12.14,0.04,12.14,0.04,12.14,0.04
12.52,0.04,12.52,0.04,12.52,0.02
12.88,0.04,12.88,0.04,12.88,0.04
13.26,0.04,13.26,0.04,13.26,0.04
13.64,0.02,13.64,0.02,13.64,0.02
14.02,0.04,14.02,0.04,14,0.04
14.38,0.04,14.38,0.04,14.4,0.04
14.78,0.02,14.76,0.06,14.76,0.04
15.14,0.04,15.14,0.04,15.16,0.04
15.52,0.04,15.52,0.04,15.52,0.04
15.86,0.04,15.86,0.04,15.86,0.04
16.22,0.04,16.24,0.04,16.22,0.04
16.62,0.06,16.62,0.06,16.62,0.04
17,0.04,17,0.04,17,0.04
17.36,0.04,17.36,0.04,17.36,0.04
17.74,0.04,17.74,0.06,17.74,0.04
18.12,0.06,18.1,0.06,18.1,0.04
18.48,0.06,18.52,0.06,18.48,0.06
18.88,0.08,18.86,0.06,18.86,0.04
19.24,0.06,19.24,0.06,19.26,0.04
19.6,0.06,19.6,0.06,19.58,0.08
19.98,0.06,19.96,0.06,19.96,0.06
20.22,0.06,20.22,0.08,20.22,0.06
20.22,0.08,20.22,0.06,20.22,0.06
20.22,0.1,20.22,0.08,20.22,0.08
20.22,0.1,20.22,0.1,20.22,0.08
20.22,0.1,20.22,0.1,20.22,0.12
20.22,0.1,20.22,0.12,20.22,0.12
20.22,0.12,20.22,0.14,20.22,0.14
20.22,0.18,20.22,0.14,20.22,0.16
20.22,0.2,20.22,0.18,20.22,0.2
20.22,0.22,20.22,0.22,20.22,0.24
20.22,0.24,20.22,0.26,20.22,0.26
20.22,0.28,20.22,0.28,20.22,0.3
20.22,0.32,20.22,0.34,20.22,0.34
20.22,0.38,20.22,0.38,20.22,0.38
20.22,0.4,20.22,0.42,20.22,0.44
20.22,0.48,20.22,0.48,20.22,0.46
20.22,0.52,20.22,0.52,20.22,0.52
20.22,0.56,20.22,0.56,20.22,0.56
20.22,0.6,20.22,0.64,20.22,0.62
20.22,0.64,20.22,0.66,20.22,0.68
20.22,0.7,20.22,0.72,20.22,0.7
20.22,0.74,20.22,0.76,20.22,0.74
20.22,0.8,20.22,0.78,20.22,0.8
20.22,0.84,20.22,0.84,20.22,0.84
20.22,0.88,20.22,0.88,20.22,0.86
20.22,0.9,20.22,0.94,20.22,0.92
20.22,0.96,20.22,0.96,20.22,0.98
20.22,1,20.22,0.98,20.22,1
20.22,1.04,20.22,1.04,20.22,1.04
20.22,1.06,20.22,1.08,20.22,1.08
