Gate Voltage,4.0,Gate Voltage,5.0,Gate Voltage,6.0,Gate Voltage,7.0,Gate Voltage,8.0,Gate Voltage,9.0
0.0,0.0,0.0,0.05,0.0,0.05,-0.05,0.05,0.05,0.05,0.05,0.05
0.35,0.45,0.25,0.55,0.25,0.55,0.2,0.55,0.25,0.55,0.25,0.55
0.85,0.65,0.55,1.1,0.55,1.1,0.5,1.1,0.55,1.1,0.55,1.15
1.6,0.65,0.85,1.7,0.9,1.75,0.8,1.75,0.85,1.75,0.8,1.75
2.4,0.65,1.2,2.2,1.15,2.3,1.15,2.3,1.1,2.35,1.1,2.35
3.15,0.7,1.5,2.8,1.45,2.9,1.4,2.85,1.4,2.9,1.4,2.95
3.95,0.65,1.85,3.35,1.7,3.45,1.7,3.5,1.7,3.55,1.7,3.55
4.65,0.7,2.2,3.85,2.05,4.05,2.0,4.1,2.0,4.15,2.0,4.1
5.45,0.65,2.6,4.4,2.4,4.65,2.35,4.7,2.3,4.7,2.3,4.75
6.25,0.7,3.05,4.7,2.7,5.2,2.65,5.25,2.65,5.3,2.6,5.3
6.9,0.7,3.7,4.9,3.0,5.75,2.95,5.85,2.95,5.85,2.95,5.9
7.75,0.7,4.45,4.95,3.35,6.35,3.25,6.45,3.25,6.45,3.2,6.5
8.55,0.65,5.15,4.9,3.65,6.9,3.6,6.95,3.55,7.05,3.55,7.1
9.3,0.65,5.95,4.95,3.95,7.45,3.9,7.55,3.85,7.55,3.85,7.7
10.05,0.7,6.65,4.95,4.35,8.0,4.25,8.1,4.2,8.15,4.2,8.2
10.75,0.65,7.45,5.0,4.65,8.5,4.6,8.6,4.5,8.7,4.45,8.75
11.55,0.7,8.2,5.0,5.05,9.05,4.9,9.2,4.85,9.3,4.8,9.35
12.3,0.7,9.0,5.0,5.4,9.55,5.25,9.75,5.2,9.8,5.15,9.85
13.15,0.65,9.75,5.0,5.75,10.05,5.6,10.3,5.5,10.35,5.5,10.4
13.85,0.7,10.5,5.0,6.2,10.55,5.95,10.8,5.9,10.9,5.85,10.95
14.6,0.7,11.25,5.0,6.55,11.05,6.3,11.35,6.25,11.4,6.2,11.45
15.35,0.7,12.0,5.0,6.95,11.4,6.7,11.85,6.6,11.95,6.55,12.0
16.15,0.7,12.75,5.0,7.4,11.85,7.0,12.35,6.95,12.45,6.95,12.5
16.9,0.7,13.55,5.0,7.9,12.25,7.4,12.85,7.3,12.95,7.25,13.0
17.7,0.7,14.3,5.0,8.45,12.55,7.8,13.35,7.7,13.45,7.65,13.6
18.4,0.7,15.05,5.0,9.05,12.65,8.2,13.8,8.05,13.95,8.0,14.0
19.2,0.7,15.8,5.0,9.8,12.75,8.6,14.3,8.45,14.45,8.35,14.5
19.95,0.7,16.6,5.05,10.5,12.75,9.0,14.8,8.85,14.9,8.75,15.0
20.7,0.7,17.35,5.0,11.3,12.8,9.35,15.2,9.25,15.4,9.15,15.5
21.5,0.7,18.1,5.0,12.05,12.8,9.8,15.65,9.6,15.85,9.55,15.95
22.3,0.7,18.85,5.05,12.8,12.8,10.2,16.15,10.0,16.3,9.95,16.45
23.05,0.65,19.65,5.05,13.55,12.8,10.6,16.6,10.45,16.8,10.35,16.85
23.75,0.7,20.4,5.05,14.35,12.8,11.05,17.0,10.8,17.2,10.8,17.35
24.55,0.7,21.15,5.05,15.1,12.8,11.45,17.45,11.3,17.65,11.15,17.8
25.3,0.7,21.95,5.05,15.9,12.8,11.9,17.85,11.7,18.1,11.6,18.2
26.1,0.75,22.65,5.05,16.6,12.8,12.35,18.2,12.15,18.5,12.0,18.65
26.9,0.7,23.45,5.05,17.4,12.8,12.85,18.65,12.55,18.95,12.5,19.05
27.55,0.75,24.2,5.05,18.1,12.8,13.3,19.0,13.05,19.35,12.9,19.45
28.3,0.75,24.95,5.05,18.9,12.8,13.8,19.35,13.45,19.75,13.35,19.85
29.15,0.7,25.75,5.1,19.7,12.8,14.25,19.7,13.95,20.15,13.85,20.3
29.9,0.7,26.5,5.05,20.4,12.8,14.75,20.05,14.4,20.55,14.3,20.7
30.7,0.75,27.25,5.05,21.2,12.85,15.25,20.4,14.9,20.95,14.75,21.05
