Gate Voltage,4.0,Gate Voltage,5.0,Gate Voltage,6.0,Gate Voltage,7.0,Gate Voltage,8.0,Gate Voltage,9.0
0.0,0.05,0.0,0.1,0.0,0.05,-0.05,0.05,-0.05,0.05,0.0,0.05
0.55,0.15,0.3,0.45,0.25,0.5,0.25,0.5,0.2,0.55,0.25,0.5
1.3,0.1,0.75,0.8,0.55,1.05,0.55,1.15,0.5,1.15,0.45,1.2
2.1,0.15,1.55,0.85,0.95,1.55,0.85,1.7,0.75,1.8,0.75,1.85
2.85,0.1,2.25,0.8,1.35,2.0,1.15,2.25,1.05,2.35,1.0,2.45
3.6,0.1,3.0,0.85,1.9,2.25,1.5,2.8,1.4,2.95,1.25,3.0
4.35,0.1,3.8,0.85,2.6,2.35,1.85,3.3,1.65,3.55,1.55,3.7
5.15,0.1,4.55,0.85,3.35,2.35,2.3,3.7,1.95,4.05,1.85,4.25
5.9,0.1,5.35,0.85,4.1,2.35,2.75,4.05,2.3,4.6,2.15,4.8
6.7,0.15,6.1,0.85,4.9,2.35,3.45,4.2,2.7,5.1,2.5,5.35
7.4,0.15,6.85,0.85,5.65,2.35,4.15,4.2,3.1,5.55,2.8,5.9
8.2,0.15,7.65,0.85,6.4,2.35,4.9,4.25,3.65,5.9,3.15,6.45
9.0,0.1,8.4,0.85,7.2,2.35,5.65,4.25,4.15,6.15,3.55,6.9
9.75,0.15,9.1,0.9,7.95,2.35,6.45,4.25,4.85,6.25,3.95,7.35
10.5,0.15,9.85,0.85,8.7,2.35,7.2,4.25,5.55,6.3,4.35,7.75
11.25,0.15,10.6,0.9,9.45,2.4,7.95,4.2,6.35,6.3,4.9,8.1
12.0,0.15,11.45,0.9,10.25,2.35,8.75,4.2,7.1,6.3,5.5,8.3
12.8,0.15,12.2,0.9,11.0,2.35,9.5,4.2,7.9,6.25,6.2,8.4
13.5,0.15,12.95,0.85,11.75,2.35,10.3,4.2,8.65,6.25,6.95,8.45
14.3,0.1,13.75,0.85,12.55,2.35,11.1,4.2,9.45,6.25,7.7,8.4
15.05,0.1,14.45,0.9,13.3,2.35,11.8,4.15,10.25,6.25,8.5,8.4
15.85,0.15,15.25,0.9,14.05,2.3,12.6,4.2,11.0,6.2,9.3,8.35
16.6,0.15,16.0,0.9,14.8,2.35,13.4,4.15,11.8,6.2,10.05,8.3
17.3,0.1,16.75,0.9,15.55,2.4,14.15,4.15,12.55,6.15,10.85,8.25
18.15,0.1,17.55,0.9,16.3,2.35,14.9,4.15,13.4,6.1,11.65,8.25
18.9,0.1,18.3,0.85,17.05,2.4,15.65,4.15,14.15,6.1,12.45,8.2
19.65,0.15,19.1,0.85,17.95,2.35,16.5,4.15,14.9,6.1,13.25,8.15
20.45,0.15,19.8,0.9,18.65,2.35,17.2,4.15,15.65,6.05,14.1,8.15
21.15,0.1,20.6,0.85,19.4,2.35,17.95,4.15,16.45,6.1,14.85,8.1
21.9,0.15,21.4,0.9,20.15,2.4,18.75,4.1,17.25,6.05,15.65,8.05
22.7,0.15,22.05,0.9,20.9,2.35,19.55,4.15,18.0,6.05,16.45,8.05
23.45,0.15,22.85,0.9,21.7,2.35,20.35,4.15,18.8,6.0,17.2,7.95
24.2,0.15,23.7,0.9,22.45,2.35,21.0,4.1,19.6,6.0,18.0,7.95
24.95,0.1,24.35,0.9,23.2,2.35,21.8,4.1,20.35,5.95,18.85,7.9
25.75,0.15,25.2,0.9,24.0,2.4,22.65,4.1,21.15,5.9,19.6,7.85
26.55,0.15,25.95,0.9,24.75,2.35,23.35,4.1,21.9,5.95,20.4,7.85
27.3,0.15,26.7,0.9,25.55,2.35,24.2,4.05,22.75,5.95,21.25,7.85
28.05,0.15,27.45,0.9,26.3,2.4,24.95,4.05,23.45,5.9,22.0,7.75
28.85,0.15,28.2,0.85,27.05,2.35,25.7,4.1,24.25,5.85,22.8,7.75
29.6,0.15,29.0,0.9,27.85,2.35,26.5,4.05,25.05,5.85,23.65,7.7
30.4,0.15,29.75,0.9,28.55,2.35,27.2,4.05,25.8,5.85,24.35,7.65
31.15,0.15,30.5,0.9,29.4,2.35,28.0,4.05,26.6,5.8,25.2,7.6
