Gate Voltage,2.0,Gate Voltage,2.5,Gate Voltage,3.0,Gate Voltage,3.5,Gate Voltage,4.0,Gate Voltage,4.5
0.0,0.05,0.0,0.05,0.0,0.05,0.0,0.05,0.0,0.05,0.0,0.05
0.6,0.1,0.05,0.75,0.05,0.8,0.0,0.8,0.05,0.8,0.05,0.8
1.3,0.1,0.15,1.6,0.1,1.7,0.1,1.7,0.05,1.7,0.1,1.7
2.15,0.1,0.3,2.35,0.15,2.6,0.15,2.7,0.15,2.65,0.1,2.65
2.85,0.05,0.9,2.65,0.2,3.55,0.15,3.55,0.15,3.55,0.15,3.6
3.65,0.1,1.65,2.65,0.25,4.45,0.2,4.45,0.2,4.45,0.2,4.45
4.4,0.1,2.4,2.65,0.3,5.35,0.25,5.4,0.25,5.45,0.2,5.45
5.15,0.1,3.2,2.65,0.4,6.25,0.35,6.3,0.25,6.35,0.25,6.35
5.9,0.1,3.95,2.65,0.45,7.2,0.35,7.25,0.3,7.3,0.35,7.3
6.65,0.15,4.65,2.7,0.5,8.05,0.4,8.15,0.35,8.2,0.35,8.25
7.45,0.1,5.45,2.7,0.55,8.9,0.45,9.05,0.4,9.1,0.4,9.15
8.2,0.1,6.25,2.7,0.65,9.75,0.5,10.0,0.45,10.05,0.45,10.1
8.95,0.1,7.0,2.7,0.8,10.6,0.55,10.9,0.5,10.95,0.5,10.95
9.75,0.1,7.75,2.7,1.05,11.3,0.6,11.85,0.55,11.9,0.5,11.95
10.5,0.1,8.45,2.7,1.6,11.55,0.65,12.75,0.6,12.8,0.6,12.85
11.25,0.15,9.2,2.7,2.25,11.65,0.65,13.65,0.65,13.75,0.55,13.75
12.05,0.1,10.0,2.75,3.0,11.65,0.75,14.6,0.7,14.7,0.65,14.7
12.75,0.1,10.7,2.75,3.75,11.7,0.8,15.45,0.7,15.6,0.7,15.6
13.6,0.1,11.5,2.75,4.5,11.75,0.9,16.4,0.75,16.55,0.7,16.6
14.3,0.1,12.25,2.75,5.25,11.8,0.9,17.3,0.8,17.4,0.8,17.5
15.05,0.15,13.0,2.75,5.95,11.8,0.95,18.2,0.85,18.35,0.8,18.4
15.8,0.1,13.8,2.8,6.7,11.85,1.0,19.05,0.9,19.3,0.85,19.35
16.6,0.1,14.5,2.75,7.4,11.85,1.15,19.95,0.95,20.2,0.9,20.3
17.35,0.1,15.25,2.8,8.15,11.9,1.15,20.85,1.0,21.05,0.95,21.15
18.15,0.1,16.05,2.8,8.9,11.9,1.25,21.7,1.05,22.05,1.0,22.1
18.9,0.15,16.75,2.85,9.6,12.0,1.4,22.55,1.1,22.95,1.05,23.0
19.65,0.15,17.55,2.8,10.4,12.0,1.55,23.35,1.15,23.85,1.1,23.95
20.35,0.1,18.35,2.85,11.1,12.05,1.75,24.0,1.2,24.75,1.15,24.85
21.15,0.1,19.05,2.85,11.85,12.1,2.25,24.35,1.25,25.7,1.15,25.75
21.9,0.15,19.85,2.85,12.6,12.1,2.95,24.45,1.35,26.6,1.2,26.7
22.65,0.15,20.55,2.85,13.3,12.15,3.7,24.45,1.35,27.45,1.25,27.6
23.5,0.15,21.3,2.9,14.05,12.2,4.45,24.55,1.45,28.4,1.3,28.55
24.25,0.1,22.05,2.95,14.8,12.25,5.2,24.55,1.5,29.3,1.4,29.45
25.0,0.1,22.8,2.9,15.5,12.3,5.9,24.6,1.55,30.15,1.4,30.35
25.75,0.1,23.55,2.9,16.25,12.3,6.65,24.6,1.6,31.05,1.45,31.3
26.5,0.15,24.3,2.9,17.0,12.35,7.4,24.6,1.65,31.95,1.45,32.2
27.3,0.1,25.1,3.0,17.75,12.45,8.15,24.65,1.75,32.85,1.55,33.1
28.05,0.15,25.8,2.95,18.45,12.45,8.9,24.7,1.8,33.7,1.65,34.0
28.85,0.15,26.55,3.0,19.2,12.5,9.65,24.75,1.85,34.6,1.65,34.9
29.6,0.1,27.35,3.05,19.95,12.55,10.4,24.75,2.0,35.45,1.65,35.8
30.35,0.15,28.05,3.05,20.65,12.6,11.1,24.75,2.05,36.3,1.75,36.75
31.15,0.15,28.85,3.1,21.4,12.65,11.9,24.8,2.25,37.1,1.8,37.65
